,model,device,total_time,avg_chars_per_sec,avg_response_length
0,mrm8488/spanish-gpt2,cuda:0,22.98284101486206,107.86307917271552,99.0
1,datificate/gpt2-small-spanish,cuda:0,22.47123098373413,100.79554616476183,79.54545454545455
2,DeepESP/gpt2-spanish,cuda:0,5.166841745376587,295.34483059511183,12.363636363636363
3,flax-community/gpt-2-spanish,cuda:0,22.121062517166138,96.15270506782527,67.0
4,bertin-project/bertin-gpt-j-6B,auto,222.99557328224182,9.022600630073695,56.54545454545455
5,bertin-project/bertin-gpt-j-6B-infolibros,auto,203.62219715118408,9.9203329905148,57.27272727272727
6,bertin-project/bertin-gpt-j-6B-alpaca,auto,200.7634572982788,8.746611677398398,33.27272727272727
7,DavidFM43/bertin-gpt-j-6b-half-sharded,auto,275.91861391067505,7.440599859872561,60.27272727272727
